Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
Inclusive Leadership: The Power of Workplace Diversity,4.9,Beginner level,21,Flexible schedule,1738,How to value & respect others to cultivate inclusion.Signature traits of inclusive leaders.Communicate with diverse individuals to achieve goals.,"['Diversity (Business)', 'self-awareness', 'Communication', 'Emotional Intelligence', 'inclusive leadership']","['Inclusion Matters', 'Inclusive Leadership Matters', 'Six Signature Traits of Highly Inclusive Leaders', 'Communication and Inclusive Leadership']",['Brenda J. Allen'],['University of Colorado System'],Computer Science,https://www.coursera.org/learn/inclusiveleadership
Fundamentos de la ciberseguridad,4.9,Beginner level,13,Flexible schedule,1442,Reconoce las habilidades y conocimientos básicos necesarios para convertirte en analista de ciberseguridadIdentifica cómo los ataques a la ciberseguridad afectan a las operaciones comercialesQué es la ética de seguridad?Identifica las herramientas más comunes que se utilizan en el análisis de ciberseguridad,"['Ciberseguridad', 'Ataques históricos a la ciberseguridad', 'Seguridad de la información (INFOSEC)', 'Ética', 'Marco de ciberseguridad del NIST (CSF)']","['Introducción al apasionante mundo de la ciberseguridad', 'La evolución de la ciberseguridad', 'Protección frente a amenazas, riesgos y vulnerabilidades', 'Herramientas de ciberseguridad y lenguajes de programación']",['Google Career Certificates'],['Google'],Computer Science,https://www.coursera.org/learn/fundamentos-de-la-ciberseguridad
Regression Analysis: Simplify Complex Data Relationships,4.7,Advanced level,34,Flexible schedule,254,Investigate relationships in datasetsIdentify regression model assumptions Perform linear and logistic regression using PythonPractice model evaluation and interpretation,"['regression modeling', 'Python Programming', 'Statistical Analysis', 'Effective Communication', 'Predictive Modelling']","['Introduction to complex data relationships', 'Simple linear regression', 'Multiple linear regression', 'Advanced hypothesis testing', 'Logistic regression', 'Course 5 end-of-course project']",['Google Career Certificates'],['Google'],Computer Science,https://www.coursera.org/learn/regression-analysis-simplify-complex-data-relationships
European Business Law  Specialization,4.8,Beginner level,40,Flexible schedule,322,Navigate and understand relevant laws and regulations regarding the internal European Union marketEstablishing and running a company within the European Union Constructing and presenting a persuasive legal argument Creating a competitive edge for a company and protecting and defending a company's inventions and products ,"['Compete on the Internal Market', 'Foreign Policy', 'Law', 'Legal Research', 'Business Law']","['European Business Law: Understanding the Fundamentals', 'European Business Law: Doing Business in Europe', 'European Business Law: Competing in Europe']","['Justin Pierce', 'Eduardo Gill Pedro', 'Anna Wiberg', 'Angelica Ericsson', 'Michael Bogdan', 'Hans Henrik Lidgard', 'Jörgen Hettne', 'Ulf Maunsbach', 'Xavier Groussot', 'Annegret Engel', 'Mia Rönnmar ', 'Sanja Bogojevic', 'Julian Nowag', 'Cécile Brokelind', 'Niklas Arvidsson', 'Magnus Schmauch']",['Lund University'],Computer Science,https://www.coursera.org/specializations/european-business-law
Blockchain Revolution in Financial Services Specialization,4.7,Beginner level,80,Flexible schedule,790,"Seven design principles for the ‘Blockchain Revolution’Terms such as miner, hash, nonce, consensus mechanism, public key cryptography, cryptoasset, smart contract, DApp, and self-sovereign identityTop 10 challenges for implementing blockchain technologyBlockchain applications and use-cases within the financial services industry","['Collaborative Working Environment', 'Blockchain (Database)', 'Open Collaboration', 'Access Structure', 'Object Binding', 'Alcatel Business Communications', 'Centurylink', 'Base Address']","['Introduction to Blockchain for Financial Services', 'Blockchain, Cryptoassets, and Decentralized Finance', 'Blockchain Transformations of Financial Services', 'Blockchain in Financial Services: Strategic Action Plan']","['Alex Tapscott', 'Don Tapscott']",['INSEAD'],Computer Science,https://www.coursera.org/specializations/blockchain-financial-services
Python Project for Data Engineering,4.6,Intermediate level,9,Flexible schedule,544,"Demonstrate your skills in Python for working with and manipulating dataImplement webscraping and use APIs to extract data with PythonPlay the role of a Data Engineer working on a real project to extract, transform, and load dataUse Jupyter notebooks and IDEs to complete your project","['Python Programming', 'Information Engineering', 'Extract Transform and Load (ETL)', 'Data Engineer', 'Web Scraping']","['Extract, Transform, Load (ETL)', 'Final Project', '[Optional] Python Coding Practices and Packaging Concepts']","['Joseph Santarcangelo', 'Abhishek Gagneja', 'Ramesh Sannareddy']",['IBM'],Computer Science,https://www.coursera.org/learn/python-project-for-data-engineering
Oracle SQL Databases Specialization,4.6,Beginner level,40,Flexible schedule,434,"Learn how to create Oracle SQL DatabasesUnderstand how to insert, modify, and delete from Oracle SQL Databases","['Insert and Modify Oracle SQL Databases', 'Delete from Oracle SQL Databases', 'Create Oracle SQL Databases']","['Oracle Database Foundations', 'Oracle Database Platform', 'Oracle SQL Basics', 'Oracle SQL Proficiency']",['Rafiq Wayani'],['LearnQuest'],Computer Science,https://www.coursera.org/specializations/oracle-sql-databases
Advanced React,4.7,Intermediate level,26,Flexible schedule,875,Create robust and reusable components with advanced techniques and learn different patterns to reuse common behaviorInteract with a remote server and fetch and post data via an APISeamlessly test React applications with React Testing LibraryIntegrate commonly used React libraries to streamline your application development,"['Unit Testing', 'React (Web Framework)', 'Front-End Web Development']","['Components', 'React Hooks and Custom Hooks', 'JSX and testing', 'Final project']",['Taught by Meta Staff'],['Meta'],Computer Science,https://www.coursera.org/learn/advanced-react
Extended Reality for Everybody Specialization,4.7,Beginner level,80,Flexible schedule,347,"Learn the underlying concepts, enabling technologies, and key applications for all things XRUnderstand key issues and developments in XR and learn how to address them in design and development of XR applicationsDesign and develop your own XR applications","['Design', 'Augmented reality (AR)', 'Virtual reality (VR)', 'development', 'Extended Reality (XR)']","['Intro to AR/VR/MR/XR: Technologies, Applications & Issues', 'User Experience & Interaction Design for AR/VR/MR/XR', 'Developing AR/VR/MR/XR Apps with WebXR, Unity & Unreal']",['Michael Nebeling'],['University of Michigan'],Computer Science,https://www.coursera.org/specializations/extended-reality-for-everybody
Health Information Literacy for Data Analytics Specialization,4.5,Intermediate level,40,Flexible schedule,153,"Analyze the various types and sources of healthcare data, including clinical, operational, claims, and patient generated data.Compare and contrast common data models used in healthcare data systems.Assess the quality of healthcare data and make appropriate interpretations of meaning according to data sources and intended uses.Create a data dictionary to communicate the source and value of data.","['Data Model', 'healthcare terminology', 'healthcare data']","['Healthcare Data Literacy', 'Healthcare Data Models', 'Healthcare Data Quality and Governance', 'Analytical Solutions to Common Healthcare Problems']","['Brian Paciotti', 'Doug Berman']","['University of California, Davis']",Computer Science,https://www.coursera.org/specializations/healthcare-information-literacy-data-analytics
Principles of UX/UI Design,4.7,Beginner level,21,Flexible schedule,612,Describe the fundamentals of User Experience (UX) design and researchDescribe accessibility considerations in design Practice developing user empathy through researchCreate wireframes and prototypes in Figma,"['Web Design', 'Accessibility', 'Front-End Web Development', 'User Experience (UX)']","['Introduction to UX and UI design', 'Evaluating interactive design', 'Applied Design Fundamentals', 'Designing your UI', 'Course summary and final assessment']",['Taught by Meta Staff'],['Meta'],Computer Science,https://www.coursera.org/learn/principles-of-ux-ui-design
Agile Leadership Specialization,4.8,Beginner level,40,Flexible schedule,1507,"Apply Agile principles and philosophy within your team and organizationDevelop change resilience at a personal, team, and organization levelTransform yourself, your team, and your organization from traditional into Agile","['Project Management', 'Agile Management', 'Change Management', 'Scrum (Software Development)', 'Agile Leadership']","['Agile Leadership: Introduction to Change', 'Agile Leader Training', 'Developing an Agile Team', 'Agile Organization', 'Agile Leadership Capstone']",['Oxana Trotsenko'],['University of Colorado System'],Computer Science,https://www.coursera.org/specializations/agile-leadership-change-management
Developing APIs with Google Cloud's Apigee API Platform Specialization,4.7,Intermediate level,40,Flexible schedule,2474,"Develop a good understanding of Google Cloud's Apigee API platform features and organizational model.Learn how to design APIs and deploy them to the Apigee API platform.Understand how to productize and publish APIs.Gain a deep understanding of API security, including OAuth, JSON Web Tokens, and federated identity.","['Apigee API Platform', 'REST API design', 'OpenAPI specifications', 'API security', 'Oauth']","[""API Design and Fundamentals of Google Cloud's Apigee API Platform"", ""API Security on Google Cloud's Apigee API Platform"", ""API Development on Google Cloud's Apigee API Platform""]",['Google Cloud Training'],['Google Cloud'],Computer Science,https://www.coursera.org/specializations/apigee-api-gcp
Spacecraft Dynamics and Control Specialization,4.8,Advanced level,120,Flexible schedule,309,"Apply transport theorem to differentiate vectors, derive frame dependent velocity and acceleration vectors, and solve kinematic particle problems, Translate between sets of attitude descriptions; add and subtract relative attitude descriptions for the movement of rigid bodiesApply the static stability conditions of a dual-spinner configuration to derive equations of motion for rigid bodies with momentum exchange devicesApply Lyapunov method to argue stability and convergence on a range of systems, analyze rigid body control convergence with unmodeled torque","['attitude dynamics', 'control of nonlinear attitude', 'kinetics', 'spacecraft motion', 'kinematics']","['Kinematics: Describing the Motions of Spacecraft', 'Kinetics: Studying Spacecraft Motion', 'Control of Nonlinear Spacecraft Attitude Motion', 'Spacecraft Dynamics Capstone: Mars Mission']",['Hanspeter Schaub'],['University of Colorado Boulder'],Computer Science,https://www.coursera.org/specializations/spacecraft-dynamics-control
The Nuts and Bolts of Machine Learning,4.8,Advanced level,37,Flexible schedule,218,Identify characteristics of the different types of machine learning Prepare data for machine learning models Build and evaluate supervised and unsupervised learning models using PythonDemonstrate proper model and metric selection for a machine learning algorithm,"['Stack Overflow', 'Python Programming', 'Machine Learning', 'Effective Communication', 'Predictive Modelling']","['The different types of machine learning', 'Workflow for building complex models', 'Unsupervised learning techniques', 'Tree-based modeling', 'Course 6 end-of-course project']",['Google Career Certificates'],['Google'],Computer Science,https://www.coursera.org/learn/the-nuts-and-bolts-of-machine-learning
Computational Social Science Specialization,4.7,Beginner level,80,Flexible schedule,536,"Discover how social networks and human dynamics create social systems and recognizable patternsDefine and discuss big data opportunities and limitationsWeb scrape online data, create a social network visualization with it, and use machine learning to analyze its content  Use computer simulations to program your own artificial societies to explore business strategies and policy options",[],"['Computational Social Science Methods', 'Big Data, Artificial Intelligence, and Ethics', 'Social Network Analysis', 'Computer Simulations', 'Computational Social Science Capstone Project']",['Martin Hilbert'],"['University of California, Davis']",Computer Science,https://www.coursera.org/specializations/computational-social-science-ucdavis
TensorFlow: Data and Deployment Specialization,4.7,Intermediate level,40,Flexible schedule,1308,"Run models in your browser using TensorFlow.jsPrepare and deploy models on mobile devices using TensorFlow LiteAccess, organize, and process training data more easily using TensorFlow Data ServicesExplore four advanced deployment scenarios using TensorFlow Serving, TensorFlow Hub, and TensorBoard","['Tensorflow', 'Object Detection', 'Machine Learning', 'JavaScript', 'advanced deployment']","['Browser-based Models with TensorFlow.js', 'Device-based Models with TensorFlow Lite', 'Data Pipelines with TensorFlow Data Services', 'Advanced Deployment Scenarios with TensorFlow']",['Laurence Moroney'],['DeepLearning.AI'],Computer Science,https://www.coursera.org/specializations/tensorflow-data-and-deployment
Machine Learning and Reinforcement Learning in Finance Specialization,3.7,Intermediate level,80,Flexible schedule,744,"Compare ML for Finance with ML in Technology (image and speech recognition, robotics, etc.)  Describe linear regression and classification models and methods of their evaluation  Explain how Reinforcement Learning is used for stock trading  Become familiar with popular approaches to modeling market frictions and feedback effects for option trading.  ","['Tensorflow', 'Financial Engineering', 'Reinforcement Learning', 'Machine Learning', 'Predictive Modelling']","['Guided Tour of Machine Learning in Finance', 'Fundamentals of Machine Learning in Finance', 'Reinforcement Learning in Finance', 'Overview of Advanced Methods of Reinforcement Learning in Finance']",['Igor Halperin'],['New York University'],Computer Science,https://www.coursera.org/specializations/machine-learning-reinforcement-finance
Building Scalable Java Microservices with Spring Boot and Spring Cloud,4.3,Intermediate level,12,Flexible schedule,1232,"Build Spring Boot microservices that consume Google Cloud managed servicesSend and receive messages with Pub/Sub and Spring Integration.Use Cloud SQL as a managed relational database for your Java applications, and migrate to Cloud SpannerImplement distributed tracing by using Cloud Trace",[],"['Course introduction', 'Introduction to Google Cloud Services and Spring Boot', 'Building the Demo Application']",['Google Cloud Training'],['Google Cloud'],Computer Science,https://www.coursera.org/learn/google-cloud-java-spring
"Everyday Excel, Part 1",4.7,Beginner level,23,Flexible schedule,3257,"Navigating Excel, editing the worksheet (including inserting/deleting cells, columns, and rows), and cell formatting.Expression entry and common Excel formulas (including logical functions, text functions, and financial functions).Data management (sorting, filtering, consolidating, removing duplicates, data validation, and one-way lookups).Data visualization (scatter plots, column charts, pie charts, Slicers, Sparklines, and Pivot Tables).","['Spreadsheet', 'Microsoft Excel', 'Problem Solving', 'Data Management', 'Real World']","['Navigating Excel', 'Expression Entry and Common Excel Functions', 'More Excel functions', 'Managing Data', ' Plotting, Importing Data, and Converting to Other File Types']",['Charlie Nuttelman'],['University of Colorado Boulder'],Computer Science,https://www.coursera.org/learn/everyday-excel-part-1
Google Advanced Data Analytics Capstone,4.9,Advanced level,9,Flexible schedule,436,Examine data to identify patterns and trends Build models using machine learning techniques Create data visualizations Explore career resources ,"['Data Analysis', 'Python Programming', 'Machine Learning', 'Technical Interview Preparation', 'Executive Summaries']","['Capstone Project', 'Data-focused career resources', 'Put your Advanced Data Analytics Certificate to work']",['Google Career Certificates'],['Google'],Computer Science,https://www.coursera.org/learn/google-advanced-data-analytics-capstone
تحليلات البيانات من Google Professional Certificate,4.8,Beginner level,200,Flexible schedule,116,اكتساب فهم شامل للممارسات والعمليات التي يستخدمها محلل بيانات مبتدئ أو مشارك في وظيفته اليوميةتعلم المهارات التحليلية الأساسية (تنظيف البيانات وتحليلها ومؤثرات العرض) والأدوات (جداول البيانات، وSQL، وبرمجة R، وTableau) التعرّف على كيفية تنظيف البيانات وتنظيمها للتحليل، وإكمال التحليل والحسابات باستخدام جداول البيانات وبرمجة SQL وبرمجة Rتعرّف على كيفية تصور مؤثرات عرض نتائج البيانات وتقديمها في لوحات المعلومات والعروض التقديمية والأنظمة الأساسية لمؤثرات العرض شائعة الاستخدام,"['R Markdown', 'لغة البرمجة R', 'مؤثرات عرض البيانات (DataViz)', 'Rstudio', 'تحليل البيانات', 'محفظة الوظائف', 'دراسة الحالة', 'تنظيف البيانات', 'حل المشكلات', 'عملية اتخاذ القرار', 'جدول البيانات', 'طرح الأسئلة', 'نظيف البيانات', 'SQL', 'سلامة البيانات', 'تحديد حجم العينة', 'أخلاقيات البيانات', 'جمع البيانات', 'بيانات التعريف', 'العمليات الحسابية للبيانات', 'تحليلات البيانات', 'تجميع البيانات', 'دول البيانات', 'العرض التقديمي', 'برنامج Tableau']","['الأسس: البيانات، البيانات في كل مكان', 'طرح الأسئلة لاتخاذ قرارات قائمة على البيانات', 'تجهيز البيانات للاستكشاف', 'معالجة البيانات من غير نظيفة إلى نظيفة', 'تحليل البيانات للإجابة عن الأسئلة', 'مشاركة البيانات من خلال فن مؤثرات عرض التصور', 'تحليل البيانات باستخدام البرمجة R', 'مشروع كابستون لشهادة تحليلات البيانات من Google: الانتهاء من دراسة الحالة']",['Google Career Certificates'],['Google'],Computer Science,https://www.coursera.org/professional-certificates/google-data-analytics-arabic
Using Databases with Python,4.8,Beginner level,14,Flexible schedule,21137,"Use the Create, Read, Update, and Delete operations to manage databasesExplain the basics of Object Oriented PythonUnderstand how data is stored across multiple tables in a databaseUtilize the Google Maps API to visualize data","['Python Programming', 'Database (DBMS)', 'Sqlite', 'SQL']","['Object Oriented Python', 'Basic Structured Query Language', 'Data Models and Relational SQL', 'Many-to-Many Relationships in SQL', 'Databases and Visualization']",['Charles Russell Severance'],['University of Michigan'],Computer Science,https://www.coursera.org/learn/python-databases
Virtual Reality Specialization,4.7,Beginner level,80,Flexible schedule,1009,"Discover the fundamentals of Virtual Reality, the hardware and history, different applications, and the psychology and challenges of the medium. Learn the basics of 3D graphics, how we create objects and how to lay them out to create an environment.Explore how you interact with a VR world, including the concepts and technologies of VR interaction.Utilise the skills you have learnt to create your own VR game or project.","['Interaction Design', '3d computer graphics', 'Virtual World', 'Virtual Reality']","['Introduction to Virtual Reality', '3D Models for Virtual Reality', '3D Interaction Design in Virtual Reality', 'Building Interactive 3D Characters and Social VR', 'Making Your First Virtual Reality Game']","['Prof Marco Gillies', 'Prof Sylvia Xueni Pan']","['University of London', 'Goldsmiths, University of London']",Computer Science,https://www.coursera.org/specializations/virtual-reality
5G for Everyone,4.8,Beginner level,13,Flexible schedule,343,"Gain an in-depth understanding of how 5G is revolutionizing the way we do business in the 2020s.Learn about the technologies that make 5G possible, including mmWave, Massive MIMO, RAN, and more.Learn how companies can take advantage of 5G Private Networks and Industrial IoT to transform the way they operate on a daily basis.Gain the base-level knowledge of 5G you need to continue your wireless education and advance in the rapidly-growing field of wireless technology.","['Wireless Network', 'Massive MIMO', 'Industrial IoT', '5G', 'mmWave']","['Wireless and Cellular Communications Overview', 'What is 5G and Why Do We Need It?', '5G Network and Features', '5G Spectrum and mmWave', 'Massive MIMO', '5G Radio Access Network (RAN)', '5G Private Networks and Industrial IoT', '5G Security']",['Nakul H. Navarange'],['Qualcomm Academy'],Computer Science,https://www.coursera.org/learn/5g-training-qualcomm
Programación en Python,4.5,Beginner level,59,Flexible schedule,125,"Comprender y usar conceptos de programación como algoritmo, variable, función, parámetro, estructura de control y de datos e implementarlos en PythonDiseñar, crear y probar programas completos en Python para resolver problemas de la vida realManejar archivos y estructuras de datos complejas para manipular grandes volúmenes de informaciónUtilizar librerías especializadas como pandas y matplotlib para manipular conjuntos de datos y visualizarlos","['Python Programming', 'Pensamiento computacional', 'Abstracción', 'Programación', 'Diseño de software']","['Módulo 1: Descubriendo el mundo de la programación', 'Módulo 2: Tomando decisiones', 'Módulo 3: Repitiendo acciones y manejando estructuras de datos', 'Módulo 4: Solucionando problemas con matrices y librerías']","['Andrés Felipe Melani De La Hoz', 'Mario Sánchez Puccini', 'Marcela Hernández Hoyos', 'Natalia Franco', 'Andrea Herrera Suescún']",['Universidad de los Andes'],Computer Science,https://www.coursera.org/learn/programacion-python
Introduction to Intellectual Property,4.8,Beginner level,15,Flexible schedule,878,Identify the various forms of intellectual property protection available under U.S. Law Differentiate the advantages and disadvantages of intellectual property administration Analyze effective intellectual property strategies through case studiesExamine alternatives to formal intellectual property protections ,"['Brand Management', 'Asset Management', 'Value Proposition', 'Intellectual Property']","['Existing Intellectual Property Protection in the U.S.', 'Philosophical and Economic Justifications of IP Rights', 'Alternatives to Intellectual Property Law', 'Case Studies in Intellectual Property']",['R. Polk Wagner'],['University of Pennsylvania'],Computer Science,https://www.coursera.org/learn/introduction-intellectual-property
Agile Meets Design Thinking,4.7,Beginner level,9,Flexible schedule,3372,How to evaluate and explain the relevance of concepts and practices from the agile development methodologies  How to create a strong shared perspective and drive to value using design methods like personas and problem scenarios  How to diagnose what software will be valuable to the user and how to test your ideas using agile user stories and prototypes  How to facilitate narrative collaboration with user stories and prototypes   ,"['Software Development', 'Product Management', 'Agile Software Development', 'User Experience Design (UXD)', 'agile user stories']","['Problems Agile Solves', 'Focusing Your Agile with Personas, Jobs-to-be-Done, and Alternatives', 'Getting to Great Agile User Stories', 'Focusing on Customer Value with User Stories']",['Alex Cowan'],['University of Virginia'],Computer Science,https://www.coursera.org/learn/uva-darden-getting-started-agile
Legal Tech and the Digital Transformation of Law,4.5,Beginner level,14,Flexible schedule,58,"An overview of the legaltech market with its key actors and protagonists.The impact of new digital technologies on law firms, in-house lawyers and justice systems.The key market trends to guide your career towards the future of the legal industry.","['administration of justice.', 'technological and regulatory context', 'digital transformation of law', 'legal software prototypes', 'blockchain and artificial intelligence']","['Module 1: Law in the Context of the Digital Revolution.', 'Module 2. The Disruption of Artificial Intelligence in Law.', 'Module 3. Blockchain Disruption in Law.', 'Module 4. Innovation for Access to Justice.', 'Module 5. Your Transformation into a Digital Lawyer.']",['Federico Ast'],['Universidad Austral'],Computer Science,https://www.coursera.org/learn/legal-tech-digital-transformation-of-law
Fundamentals of Visualization with Tableau,4.5,Beginner level,10,Flexible schedule,6466, Install Tableau Public Software and create a visualization Examine and navigate the Tableau Public workspace Practice and connect to different data sources Examine ways to define your project,"['Visualization (Computer Graphics)', 'Tableau Software', 'Data Virtualization', 'Data Visualization']","['Data Visualization and Its Importance', 'Getting to Know Tableau for Data Visualization', ""Let's Make a Viz!"", 'Tableau Community Projects and Visualization Best Practices']","[""Desiree' Abbott""]","['University of California, Davis']",Computer Science,https://www.coursera.org/learn/data-visualization-tableau
Introduction to Scrum Master Training,4.7,Beginner level,9,Flexible schedule,1755,How to differentiate between Waterfall and AgileManaging tasks and events within a SprintScrum terminology and roles,[],"['Welcome to the Certified Scrum Master courses', 'Agile and Scrum Basics', 'Agile Basics and Roles', 'Scrum Events: the Sprint, Vision, Planning, Review, and Retrospective', 'Agile Artifacts: Vision, Product Backlog, Sprint Backlog, and Product Increment']",['Jim Sullivan'],['LearnQuest'],Computer Science,https://www.coursera.org/learn/introduction-to-certified-scrum-master
Foundations of Data Science: K-Means Clustering in Python,4.6,Beginner level,29,Flexible schedule,632,Define and explain the key concepts of data clustering    Demonstrate understanding of the key constructs and features of the Python language.    Implement in Python the principle steps of the K-means algorithm.    Design and execute a whole data clustering workflow and interpret the outputs.    ,"['K-Means Clustering', 'Machine Learning', 'Programming in Python']","['Week 1: Foundations of Data Science: K-Means Clustering in Python', 'Week 2: Means and Deviations in Mathematics and Python', 'Week 3: Moving from One to Two Dimensional Data', 'Week 4: Introducing Pandas and Using K-Means to Analyse Data', 'Week 5: A Data Clustering Project']","['Dr Matthew Yee-King', 'Dr Larisa Soldatova', 'Dr Jamie A Ward', 'Dr Betty Fyn-Sydney']","['University of London', 'Goldsmiths, University of London']",Computer Science,https://www.coursera.org/learn/data-science-k-means-clustering-python
Introduction to AI and Machine Learning on Google Cloud,4.8,Beginner level,9,Flexible schedule,12,Recognize the data-to-AI technologies and tools offered by Google Cloud.Use generative AI capabilities in applications.Choose between different options to develop an AI project on Google Cloud.Build ML models end-to-end by using Vertex AI.,[],"['Introduction', 'AI Foundations', 'AI Development Options', 'AI Development Workflow', 'Generative AI', 'Summary']",['Google Cloud Training'],['Google Cloud'],Computer Science,https://www.coursera.org/learn/introduction-to-ai-and-machine-learning-on-google-cloud
"Capstone: Retrieving, Processing, and Visualizing Data with Python",4.7,Beginner level,9,Flexible schedule,13594,Make use of unicode characters and stringsUnderstand the basics of building a search engineSelect and process the data of your choiceCreate email data visualizations,"['Data Analysis', 'Python Programming', 'Database (DBMS)', 'Data Visualization']","['Welcome to the Capstone', 'Building a Search Engine', 'Exploring Data Sources (Project)', 'Spidering and Modeling Email Data', 'Accessing New Data Sources (Project)', 'Visualizing Email Data', 'Visualizing new Data Sources (Project)']",['Charles Russell Severance'],['University of Michigan'],Computer Science,https://www.coursera.org/learn/python-data-visualization
Getting Started with Front-End and Web Development,4.4,Beginner level,14,Flexible schedule,67,"Define front-end development, list roles and skills, outline web development steps, and explore UI/UX design, collaboration, and industry trends.Explore web browsers, load balancing, and define web frameworks, platforms, hosting, languages, accessibility, and cloud benefits.Compare front-end and back-end roles, version control, and CI/CD, discuss No-Code advantages and tools, and define CMS and SEO patterns.Create websites using WordPress and plugins for website enhancement, outline qualifications, portfolio elements, and specialization paths.","['Web Development', 'Wordpress', 'Front-End Web Development', 'UI/UX Designer', 'No-code']","['Introduction to Web and Front-End Development', 'Web Infrastructure Basics and Terminology ', 'Introduction to Application Development\xa0', 'Get Started with No-Code Web Development ', 'Front-End Developer Skills and Career Paths ', 'Final Project  and Course Wrap-up']","['IBM Skills Network Team', 'Ramanujam Srinivasan']",['IBM'],Computer Science,https://www.coursera.org/learn/getting-started-with-front-end-and-web-development
Image Processing for Engineering and Science Specialization,4.8,Beginner level,40,Flexible schedule,105,Detect & analyze regions of interest in images and videosReduce noise & improve contrast to better analyze imagesUse interactive apps for rapid prototyping & code generation to automate your analysisScale your algorithms to analyze large image datasets and video,"['Image Processing', 'Image Segmentation', 'Object Detection', 'Matlab', 'video processing']","['Introduction to Image Processing', 'Image Segmentation, Filtering, and Region Analysis', 'Automating Image Processing']","['Amanda  Wang', 'Matt Rich', 'Megan Thompson', 'Brandon Armstrong', 'Sam Jones', 'Max Babayev', 'Isaac Bruss']",['MathWorks'],Computer Science,https://www.coursera.org/specializations/image-processing
"Excel/VBA for Creative Problem Solving, Part 1",4.8,Beginner level,20,Flexible schedule,4113,Utilize VBA to define and implement custom user-defined functionsCreate macros to automate procedures in ExcelIdentify the basic programming structures in VBAAutomate Excel’s Goal Seek and Solver tools and use numerical techniques to create “live solutions” to solve targeting and optimization problems,"['Microsoft Excel Vba', 'Computer Programming', 'Problem Solving', 'Debugging']","['Macro recording, VBA procedures, and debugging', 'VBA Nuts & Bolts, Part 1', 'VBA Nuts & Bolts, Part 2', 'Programming structures in VBA', 'Data Management Using VBA', 'R1C1 Style']",['Charlie Nuttelman'],['University of Colorado Boulder'],Computer Science,https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-1
Writing and Editing: Word Choice and Word Order,4.7,Beginner level,20,Flexible schedule,1817,Learn how the words you choose can change the decisions people make  Use syntax strategicallyWrite with originality and produce sentences that nobody else can writeArrange a complex set of information in a reader-friendly way  ,"['Creativity', 'Time management', 'Persuasion', 'Writing', 'Editing']","['The Words Under the Words', 'The Infinite Power of Grammar', 'The Rule of Three', 'The Power of the Particular']",['Patrick Barry'],['University of Michigan'],Computer Science,https://www.coursera.org/learn/writing-editing-words
Fundamentals of Software Architecture for Big Data,3.3,Advanced level,19,Flexible schedule,40,"Practice software engineering fundamentals; test first development, refactoring, continuous integration, and continuous delivery.Architect and create a big data or distributed system using rest collaboration, event collaboration, and batch processing.Create a performant, scalable distributed system that handles big data.","['Software Engineering', 'Distributed Computing', 'Big Data', 'Microservices', 'Real-time Systems']","['Software Engineering Overview', 'Fundamentals of Software Architecture', 'Fundamentals of Production Software', 'Fundamentals of Software Architecture for Big Data']","['Mike Barinek', 'Tyson Gern']",['University of Colorado Boulder'],Computer Science,https://www.coursera.org/learn/software-architecture-for-big-data-fundamentals
Introduction to 3D Modeling,3.6,Beginner level,27,Flexible schedule,10,Gain interest in 3D design and learning how to use 3D modeling software.Utilize 3D surface and 3D solid modeling tools to create and edit more complex designs.Round out your foundational knowledge with 3D rendering and creating 3D printable models.,"['3d modeling', 'Rhino']","['the building blocks', '2D drawings', 'object modeling', 'surface modeling']",['Glenn Wilcox'],['University of Michigan'],Computer Science,https://www.coursera.org/learn/introduction-to-3d-modeling
"Python, Bash and SQL Essentials for Data Engineering Specialization",4.5,Beginner level,80,Flexible schedule,266,"Develop data engineering solutions with a minimal and essential subset of the Python language and the Linux environmentDesign scripts to connect and query a SQL database using PythonUse a scraping library in Python to read, identify and extract data from websites 
","['Data Science', 'Big Data', 'Python Programming', 'Bash (Unix Shell)', 'Database (DBMS)', 'Information Engineering', 'SQL', 'Web Application']","['Python and Pandas for Data Engineering', 'Linux and Bash for Data Engineering', 'Scripting with Python and SQL for Data Engineering', 'Web Applications and Command-Line Tools for Data Engineering']","['Alfredo Deza', 'Kennedy Behrman', 'Noah Gift']",['Duke University'],Computer Science,https://www.coursera.org/specializations/python-bash-sql-data-engineering-duke
Introduction to Self-Driving Cars,4.7,Advanced level,35,Flexible schedule,2778,Understand commonly used hardware used for self-driving carsIdentify the main components of the self-driving software stackProgram vehicle modelling and control  Analyze the safety frameworks and current industry practices for vehicle development,[],"['Module 0: Welcome to the Self-Driving Cars Specialization!', 'Module 1: The Requirements for Autonomy', 'Module 2: Self-Driving Hardware and Software Architectures', 'Module 3: Safety Assurance for Autonomous Vehicles', 'Module 4: Vehicle Dynamic Modeling', 'Module 5: Vehicle Longitudinal Control', 'Module 6: Vehicle Lateral Control', 'Module 7: Putting it all together']","['Steven Waslander', 'Jonathan Kelly']",['University of Toronto'],Computer Science,https://www.coursera.org/learn/intro-self-driving-cars
